partido_id	nombre
2	AHORA NACIÓN - AN
36	SALVEMOS AL PERÚ
14	PARTIDO CÍVICO OBRAS
12	PARTIDO APRISTA PERUANO
29	PARTIDO POLÍTICO PERÚ PRIMERO
31	PARTIDO SICREO
22	PARTIDO MORADO
37	UN CAMINO DIFERENTE
7	AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
26	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA
9	FUERZA Y LIBERTAD
17	PARTIDO DEMÓCRATA UNIDO PERÚ
19	PARTIDO DEMOCRATICO FEDERAL
18	PARTIDO DEMÓCRATA VERDE
33	PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO
35	RENOVACIÓN POPULAR
23	PARTIDO PAÍS PARA TODOS
11	LIBERTAD POPULAR
24	PARTIDO PATRIÓTICO DEL PERÚ
28	PARTIDO POLÍTICO PERÚ ACCIÓN
3	ALIANZA ELECTORAL VENCEREMOS
10	JUNTOS POR EL PERÚ
16	PARTIDO DEL BUEN GOBIERNO
25	PARTIDO POLÍTICO COOPERACIÓN POPULAR
4	PERÚ MODERNO
38	UNIDAD NACIONAL
21	PARTIDO FRENTE DE LA ESPERANZA 2021
20	PARTIDO DEMOCRÁTICO SOMOS PERÚ
30	PARTIDO POLÍTICO PRIN
1	ALIANZA PARA EL PROGRESO
5	FE EN EL PERÚ
6	FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ
8	FUERZA POPULAR
27	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE
15	PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ
34	PROGRESEMOS
13	PARTIDO CIUDADANOS POR EL PERÚ
32	PODEMOS PERÚ
82	VOTOS IMPUGNADOS
80	VOTOS EN BLANCO
81	VOTOS NULOS
