ubigeo	Continente	pais	ciudad
910101	ÁFRICA	ARGELIA	ARGEL
911201	ÁFRICA	GHANA	ACRA
910401	ÁFRICA	KENIA	NAIROBI
910502	ÁFRICA	MARRUECOS	RABAT
910302	ÁFRICA	REPÚBLICA ÁRABE DE EGIPTO	EL CAIRO
910603	ÁFRICA	SUDÁFRICA	PRETORIA
920101	AMÉRICA	ANTILLAS HOLANDESAS	ARUBA
920202	AMÉRICA	ARGENTINA	BUENOS AIRES
920224	AMÉRICA	ARGENTINA	CATAMARCA
920203	AMÉRICA	ARGENTINA	CÓRDOBA
920204	AMÉRICA	ARGENTINA	CORRIENTES
920205	AMÉRICA	ARGENTINA	LA PLATA
920226	AMÉRICA	ARGENTINA	LA RIOJA
920206	AMÉRICA	ARGENTINA	MENDOZA
920207	AMÉRICA	ARGENTINA	ROSARIO DE SANTA FE
920208	AMÉRICA	ARGENTINA	SALTA
920210	AMÉRICA	ARGENTINA	SAN JUAN
920219	AMÉRICA	ARGENTINA	SAN LUIS
920401	AMÉRICA	BOLIVIA	COCHABAMBA
920403	AMÉRICA	BOLIVIA	LA PAZ
920405	AMÉRICA	BOLIVIA	SANTA CRUZ
920502	AMÉRICA	BRASIL	BELO HORIZONTE
920503	AMÉRICA	BRASIL	BRASILIA
920504	AMÉRICA	BRASIL	CURITIBA
920536	AMÉRICA	BRASIL	FORTALEZA
920532	AMÉRICA	BRASIL	GOIANIA
920505	AMÉRICA	BRASIL	MANAOS
920506	AMÉRICA	BRASIL	PORTO ALEGRE
920508	AMÉRICA	BRASIL	RÍO BRANCO
920509	AMÉRICA	BRASIL	RÍO DE JANEIRO
920511	AMÉRICA	BRASIL	SALVADOR
920510	AMÉRICA	BRASIL	SAO PAULO
920608	AMÉRICA	CANADÁ	ALBERTA
920601	AMÉRICA	CANADÁ	MONTREAL
920602	AMÉRICA	CANADÁ	OTTAWA
920603	AMÉRICA	CANADÁ	TORONTO
920604	AMÉRICA	CANADÁ	VANCOUVER
920605	AMÉRICA	CANADÁ	WINNIPEG
921001	AMÉRICA	CHILE	ANTOFAGASTA
921002	AMÉRICA	CHILE	ARICA
921003	AMÉRICA	CHILE	CONCEPCIÓN
921026	AMÉRICA	CHILE	COPIAPÓ
