ubigeo	lat	lon
910101	36.7729333	3.0588445
911201	5.5571096	-0.2012376
910401	-1.3023980	36.8288509
910502	34.0218454	-6.8408929
910302	30.0443879	31.2357257
910603	-25.7459277	28.1879101
920101	12.5013629	-69.9618475
920202	-34.6095579	-58.3887904
920224	-28.4676230	-65.7850008
920203	-31.4166867	-64.1834193
920204	-29.0177384	-57.8869739
920205	-34.9200237	-57.9457767
920226	-29.4130033	-66.8548012
920206	-34.5970325	-68.7304797
920207	-31.4112518	-64.1487567
920208	-25.2269908	-64.5911956
920210	-30.7054363	-69.1988222
920219	-33.2990063	-66.3484334
920401	-17.3692111	-66.1684612
920403	-16.5367788	-68.0965039
920405	-17.7834217	-63.1820853
920502	-19.9227318	-43.9450948
920503	-10.3333333	-53.2000000
920504	-25.4295963	-49.2712724
920536	-3.7932167	-38.5280359
920532	-16.6768568	-49.2613989
920505	-3.1316333	-59.9825041
920506	-30.0324399	-51.2255049
920508	-9.9765362	-67.8220778
920509	-22.9581160	-43.1766042
920511	-12.9822499	-38.4812772
920510	-21.9626164	-46.7979347
920608	55.0012510	-115.0021360
920601	45.5031824	-73.5698065
920602	45.3914261	-75.7381443
920603	43.7559060	-79.4748980
920604	49.2608724	-123.1139520
920605	49.8407525	-97.1521706
921001	-23.6463741	-70.3980033
921002	-18.4785288	-70.3211394
921003	-36.8201994	-73.0529126
921026	-27.3664685	-70.3322753
921005	-20.2140657	-70.1524646
921006	-33.4376995	-70.6510671
921007	-33.0280225	-71.5485196
920701	11.0101922	-74.8231794
920702	4.6611653	-74.0596656
920709	7.1669842	-73.1047294
920703	3.4108435	-76.5812127
920737	10.4265566	-75.5441671
920705	-4.2129211	-69.9425963
920706	6.2443382	-75.5735530
920717	1.2140275	-77.2785096
920803	9.9327707	-84.0796144
920901	23.1353050	-82.3589631
921110	-3.0524451	-79.2395135
921101	-2.1900572	-79.8868669
921102	-4.0528506	-79.8053425
921104	-3.3148937	-79.9512804
921105	-0.2201641	-78.5123274
921201	13.6976290	-89.1911560
921381	33.7544657	-84.3898151
921303	42.3588336	-71.0578303
921350	35.1800979	-80.8911184
921304	41.9723506	-87.6633653
921373	32.7762719	-96.7968559
921308	39.7392364	-104.9848620
921385	41.7645820	-72.6908547
921313	29.7589382	-95.3676974
921315	34.0536909	-118.2427660
921317	25.7741566	-80.1935973
921335	40.0757384	-74.4041622
921318	29.9561422	-90.0733934
921319	40.7367029	-73.8187956
921322	34.9550817	-97.2684063
921320	28.5421218	-81.3790450
921372	33.4484367	-112.0741410
921374	40.7639030	-111.8932573
921323	29.4246002	-98.4951405
921324	32.7174202	-117.1627720
921325	37.7879363	-122.4075201
921328	47.6038321	-122.3300620
921331	38.9354824	-76.9981674
921501	15.5855545	-90.3457590
923001	4.9371544	-52.3258736
921701	14.1058135	-87.2047053
921902	19.4326296	-99.1331785
921901	20.6718710	-103.3458832
921903	25.6802019	-100.3152580
922001	12.1547116	-86.2737250
922103	9.3553005	-79.8974085
922102	8.4273320	-82.4376605
922101	8.5595590	-81.1308434
922108	8.2414131	-81.0903464
922201	-25.2878808	-57.6326572
922303	18.4544886	-66.0792225
922403	19.4887814	-70.7303839
922401	18.4713858	-69.8918436
922601	10.6572678	-61.5180173
922701	-34.9058916	-56.1913095
922802	10.5060934	-66.9146008
931904	24.6389160	46.7160104
933801	25.3108807	51.5081812
933702	24.4538352	54.3774014
933701	25.2647227	55.2924146
933201	14.5904492	120.9803621
930402	28.6138954	77.2090057
931101	-6.1754049	106.8271680
932401	35.6892523	51.3896004
930603	31.9279988	34.8623473
930602	32.0852997	34.7818064
930705	33.5918089	130.4019340
930721	36.5219800	139.0334830
930709	34.3917241	132.4517589
930731	34.6932379	135.1943764
930727	34.7339685	136.5154489
930713	35.1851045	136.8998438
930704	26.5707754	128.0255901
930720	35.9754168	139.4160114
930736	35.2471540	136.1093850
930726	34.7680850	138.0143598
930703	35.6768601	139.7638947
931302	31.9515694	35.9239625
932801	29.3796532	47.9734174
930801	33.8892265	35.5025585
933001	3.1516964	101.6942371
930101	37.5666791	126.9782914
930201	39.9011168	116.4210134
930232	23.1288454	113.2590064
930226	22.2058803	113.5764581
930206	31.2312707	121.4700152
932501	1.2899175	103.8519072
931001	13.7524938	100.4935089
931503	39.9207759	32.8540497
931501	41.0414236	28.9831261
932002	21.0283334	105.8540410
940201	52.5173885	13.3951309
940203	53.0758196	8.8071646
940213	50.9383610	6.9599740
940205	50.1106444	8.6820917
940206	53.5501721	10.0013165
940245	48.1371079	11.5753822
940302	48.2083537	16.3725042
940401	51.2145062	4.4204307
940402	50.8467372	4.3524930
940403	51.0538286	3.7250121
940404	50.6450944	5.5736112
943601	53.9024716	27.5618225
940801	55.6756448	12.5616263
940935	36.8458313	-2.4517991
940902	41.3519228	2.1306790
940903	43.2630018	-2.9350039
940909	28.1288694	-15.4349015
940910	40.4663707	-3.6172140
940911	36.7647913	-4.4422005
940913	39.6134320	2.8829185
940931	40.9626574	-5.6695152
940905	40.9495455	-5.6801170
940918	37.3886303	-5.9953403
940915	28.2935785	-16.6214471
940920	39.4961994	-0.4020571
940922	42.1986395	-8.7279560
940917	41.6915847	-0.9101268
941001	60.1666204	24.9435408
941101	44.8412250	-0.5800364
941103	48.5846140	7.7507127
941105	45.7578137	4.8320114
941106	43.2963986	5.3777888
941107	43.7009358	7.2683912
941108	48.8588897	2.3200410
941110	43.6044638	1.4442433
941204	51.5074456	-0.1277653
942001	49.6210372	6.1452327
941301	37.9755648	23.7348324
941401	52.3337092	4.8886519
941501	47.4978789	19.0402383
941801	53.3493795	-6.2605593
941701	44.5113323	11.3402438
941755	46.6559455	11.2302129
941703	43.7685686	11.2763685
941704	44.4072600	8.9338624
941717	43.6061053	13.5043281
941706	45.4699168	9.2741163
941707	40.8402643	14.2500943
941748	43.1146928	12.3538211
941709	41.8933203	12.4829321
941710	45.6496485	13.7772781
941711	45.0289771	7.6638422
943701	41.9962164	21.4318935
942101	35.8989979	14.5136607
942302	59.9133301	10.7389701
942401	52.2333742	21.0711489
942502	38.7330911	-9.1607543
944202	42.4979185	1.5032264
940601	50.0874654	14.4212535
942601	44.4361414	26.1026840
942604	45.7538355	21.2257474
942901	55.7524085	37.6539088
942910	59.9606739	30.1586551
942701	59.3720884	18.0029847
942703	55.6076558	13.0077105
942802	46.9484742	7.4521749
942803	46.2017559	6.1466014
950102	-27.4689623	153.0235009
950103	-35.2975906	149.1012676
950104	-37.8142454	144.9631732
950106	-31.9558967	115.8605784
950105	-33.8698439	151.2082848
950201	-36.8445779	174.7671867
950202	-41.2887953	174.7772114
